,Pasa altos,Pasa bajos
mfcc_1,-422.4614743680831,-285.49418096429457
mfcc_2,-189.55962205835363,229.01075782935186
mfcc_3,-119.05311275066974,-8.416608706020753
mfcc_4,55.23942249698739,-26.360025170500304
mfcc_5,21.229891096385348,36.754246926868376
mfcc_6,17.258861926232303,15.761545375244708
mfcc_7,-19.401082024863832,-11.91426912081126
mfcc_8,8.72886541018273,3.1675461874779387
mfcc_9,-11.528231099954917,6.827624420756095
mfcc_10,9.340953704572671,-2.601399221964469
mfcc_11,-9.73744806027789,-0.5865458252177486
mfcc_12,8.333285801526806,1.0771874724945485
mfcc_13,-5.831887827269021,-1.7938833413270807
